book_name,plot_summary,review_title,review_rating,review_content,tokens,tagged_tokens,noun_phrases,cosine_similarity,sentiment_score,review_category
  Penelope's Big Dream (Penelope & Friends) ,"  A sweet story that highlights the importance of never giving up on your dreams. Be inspired by Penelope as she dares to dream BIG, overcomes adversity, and finds the courage to remain true to herself.Major themes in this book include dreams and goals, peer pressure, self-awareness and courage.Penelope is a curious, fun-loving little girl who is accompanied by her dream wherever she goes. Everything was going well for her until she realized that her dream had grown WAY TOO BIG. Feeling embarrassed of so much attention, she decided to leave her dream behind so she could fit in with others.Join Penelope in this sweet story of self awareness to find out what happens to her and her beloved dream.  Read more  ",A message we all need to hear!,5,We love this book ! The story is so sweet and easy for kids to follow but the message is one that both kids and adults can appreciate . The illustrations are colorful and expressive and add so much to the message of this story . reminds us that we all need to keep space for our big dreams even when life tries to get in the way !,"['love', 'book', '!', 'story', 'sweet', 'easy', 'kids', 'follow', 'message', 'one', 'kids', 'adults', 'appreciate', '.', 'illustrations', 'colorful', 'expressive', 'add', 'much', 'message', 'story', '.', 'Penelope', 'reminds', 'us', 'need', 'keep', 'space', 'big', 'dreams', 'even', 'life', 'tries', 'get', 'way', '!']","[('love', 'VB'), ('book', 'NN'), ('!', '.'), ('story', 'NN'), ('sweet', 'JJ'), ('easy', 'JJ'), ('kids', 'NNS'), ('follow', 'VBP'), ('message', 'NN'), ('one', 'CD'), ('kids', 'NN'), ('adults', 'NNS'), ('appreciate', 'VBP'), ('.', '.'), ('illustrations', 'NNS'), ('colorful', 'JJ'), ('expressive', 'JJ'), ('add', 'NN'), ('much', 'JJ'), ('message', 'NN'), ('story', 'NN'), ('.', '.'), ('Penelope', 'VB'), ('reminds', 'VBZ'), ('us', 'PRP'), ('need', 'VBP'), ('keep', 'VB'), ('space', 'NN'), ('big', 'JJ'), ('dreams', 'NNS'), ('even', 'RB'), ('life', 'NN'), ('tries', 'NNS'), ('get', 'VBP'), ('way', 'NN'), ('!', '.')]","['book', 'story sweet easy kids', 'message', 'kids adults', 'illustrations colorful expressive add much message story', 'space big dreams', 'life tries', 'way']","[1.0000000000000002, 0.24494650714035743, 0.14799650804241668, 0.2393836359582744, 0.2763001155932697, 0.24028615445899146, 0.45530395877776936, 0.38560292505851584, 0.2411321126980278, 0.25420008194136645]",0.93,positive
  Penelope's Big Dream (Penelope & Friends) ,"  A sweet story that highlights the importance of never giving up on your dreams. Be inspired by Penelope as she dares to dream BIG, overcomes adversity, and finds the courage to remain true to herself.Major themes in this book include dreams and goals, peer pressure, self-awareness and courage.Penelope is a curious, fun-loving little girl who is accompanied by her dream wherever she goes. Everything was going well for her until she realized that her dream had grown WAY TOO BIG. Feeling embarrassed of so much attention, she decided to leave her dream behind so she could fit in with others.Join Penelope in this sweet story of self awareness to find out what happens to her and her beloved dream.  Read more  ",Wonderful book for kids and parents about the importance of having aspirations and confidence!,5,"I love how this book takes complex topics such as aspirations , goals and dreams and simplify it for kids to understand and possibly start meaningful conversation about it . It reminds both kids and parents how important it is to have confidence in yourself and dream about something even though it might sometimes be further off in the future !","['love', 'book', 'takes', 'complex', 'topics', 'aspirations', ',', 'goals', 'dreams', 'simplify', 'kids', 'understand', 'possibly', 'start', 'meaningful', 'conversation', 'it.It', 'reminds', 'kids', 'parents', 'important', 'confidence', 'dream', 'something', 'even', 'though', 'might', 'sometimes', 'future', '!']","[('love', 'VB'), ('book', 'NN'), ('takes', 'VBZ'), ('complex', 'JJ'), ('topics', 'NNS'), ('aspirations', 'NNS'), (',', ','), ('goals', 'NNS'), ('dreams', 'VBP'), ('simplify', 'JJ'), ('kids', 'NNS'), ('understand', 'VBP'), ('possibly', 'RB'), ('start', 'VB'), ('meaningful', 'JJ'), ('conversation', 'NN'), ('it.It', 'NN'), ('reminds', 'VBZ'), ('kids', 'NNS'), ('parents', 'NNS'), ('important', 'JJ'), ('confidence', 'NN'), ('dream', 'NN'), ('something', 'NN'), ('even', 'RB'), ('though', 'IN'), ('might', 'MD'), ('sometimes', 'RB'), ('future', 'VB'), ('!', '.')]","['book', 'complex topics aspirations', 'goals', 'simplify kids', 'meaningful conversation it.It', 'kids parents important confidence dream something']","[0.24494650714035743, 1.0, 0.09159426433655324, 0.23795412797462975, 0.19834432861370555, 0.2503267234086899, 0.3161809655191188, 0.21781579233186707, 0.14796191480334503, 0.28432588160862055]",0.9392,positive
  Penelope's Big Dream (Penelope & Friends) ,"  A sweet story that highlights the importance of never giving up on your dreams. Be inspired by Penelope as she dares to dream BIG, overcomes adversity, and finds the courage to remain true to herself.Major themes in this book include dreams and goals, peer pressure, self-awareness and courage.Penelope is a curious, fun-loving little girl who is accompanied by her dream wherever she goes. Everything was going well for her until she realized that her dream had grown WAY TOO BIG. Feeling embarrassed of so much attention, she decided to leave her dream behind so she could fit in with others.Join Penelope in this sweet story of self awareness to find out what happens to her and her beloved dream.  Read more  ",Penelope’s Big Dream,5,What a great reminder to never give up on your dreams ! Such a sweet book to teach children to keep reaching and never give up !,"['great', 'reminder', 'never', 'give', 'dreams', '!', 'sweet', 'book', 'teach', 'children', 'keep', 'reaching', 'never', 'give', '!']","[('great', 'JJ'), ('reminder', 'NN'), ('never', 'RB'), ('give', 'VBP'), ('dreams', 'NNS'), ('!', '.'), ('sweet', 'JJ'), ('book', 'NN'), ('teach', 'NN'), ('children', 'NNS'), ('keep', 'VB'), ('reaching', 'VBG'), ('never', 'RB'), ('give', 'VBP'), ('!', '.')]","['great reminder', 'dreams', 'sweet book teach children']","[0.14799650804241668, 0.09159426433655324, 1.0, 0.1298402584026138, 0.017403236555639925, 0.051252358508763356, 0.24615021009755886, 0.094359112257293, 0.050134096042511414, 0.0741486252307947]",0.9039,positive
  Penelope's Big Dream (Penelope & Friends) ,"  A sweet story that highlights the importance of never giving up on your dreams. Be inspired by Penelope as she dares to dream BIG, overcomes adversity, and finds the courage to remain true to herself.Major themes in this book include dreams and goals, peer pressure, self-awareness and courage.Penelope is a curious, fun-loving little girl who is accompanied by her dream wherever she goes. Everything was going well for her until she realized that her dream had grown WAY TOO BIG. Feeling embarrassed of so much attention, she decided to leave her dream behind so she could fit in with others.Join Penelope in this sweet story of self awareness to find out what happens to her and her beloved dream.  Read more  ",A heartwarming and inspiring book,5,"I bought this book for my ’s granddaughter . She ’s but I think the beautifully designed graphics will get the message across to her even at such a young age .. Of course , I read it before I gifted it .   Even though it ’s for children , I too was reminded to always dream big and do n’t let anyone stop you ! !   I think I ’ll purchase another book and gift it to my daughter !   Such a wonderful , heartwarming and inspiring book .","['bought', 'book', 'BFF', '’', 'granddaughter', '.', '’', '2', 'think', 'beautifully', 'designed', 'graphics', 'get', 'message', 'across', 'even', 'young', 'age', '..', 'course', ',', 'read', 'gifted', '.', 'Even', 'though', '’', 'children', ',', 'reminded', 'always', 'dream', 'big', '’', 'let', 'anyone', 'stop', '!', '!', 'think', '’', 'purchase', 'another', 'book', 'gift', '24', 'year', 'old', 'daughter', '!', 'wonderful', ',', 'heartwarming', 'inspiring', 'book', '.']","[('bought', 'VBN'), ('book', 'NN'), ('BFF', 'NNP'), ('’', 'NNP'), ('granddaughter', 'NN'), ('.', '.'), ('’', 'CC'), ('2', 'CD'), ('think', 'VBP'), ('beautifully', 'RB'), ('designed', 'VBN'), ('graphics', 'NNS'), ('get', 'VBP'), ('message', 'NN'), ('across', 'IN'), ('even', 'RB'), ('young', 'JJ'), ('age', 'NN'), ('..', 'JJ'), ('course', 'NN'), (',', ','), ('read', 'JJ'), ('gifted', 'VBN'), ('.', '.'), ('Even', 'RB'), ('though', 'IN'), ('’', 'JJ'), ('children', 'NNS'), (',', ','), ('reminded', 'VBD'), ('always', 'RB'), ('dream', 'RB'), ('big', 'JJ'), ('’', 'NNS'), ('let', 'VB'), ('anyone', 'NN'), ('stop', 'VB'), ('!', '.'), ('!', '.'), ('think', 'VBP'), ('’', 'JJ'), ('purchase', 'NN'), ('another', 'DT'), ('book', 'NN'), ('gift', 'NN'), ('24', 'CD'), ('year', 'NN'), ('old', 'JJ'), ('daughter', 'NN'), ('!', '.'), ('wonderful', 'NN'), (',', ','), ('heartwarming', 'VBG'), ('inspiring', 'VBG'), ('book', 'NN'), ('.', '.')]","['book BFF ’ granddaughter', 'graphics', 'message', 'young age .. course', 'read', '’ children', 'big ’', 'anyone', '’ purchase another book gift', 'year old daughter', 'wonderful', 'book']","[0.2393836359582744, 0.23795412797462975, 0.1298402584026138, 0.9999999999999999, 0.1096215075602181, 0.20480019254921628, 0.2521225432068496, 0.23435957048529985, 0.11183087481252511, 0.15664108171680508]",0.976,positive
  Penelope's Big Dream (Penelope & Friends) ,"  A sweet story that highlights the importance of never giving up on your dreams. Be inspired by Penelope as she dares to dream BIG, overcomes adversity, and finds the courage to remain true to herself.Major themes in this book include dreams and goals, peer pressure, self-awareness and courage.Penelope is a curious, fun-loving little girl who is accompanied by her dream wherever she goes. Everything was going well for her until she realized that her dream had grown WAY TOO BIG. Feeling embarrassed of so much attention, she decided to leave her dream behind so she could fit in with others.Join Penelope in this sweet story of self awareness to find out what happens to her and her beloved dream.  Read more  ",An excellent book for kids!,5,"This book is awesome !   It is very creative and clever - the way the dream is presented .   The author succeeded in engaging the kids , which , sometimes , is not an easy task . I highly recommend this book .","['book', 'awesome', '!', 'creative', 'clever', '-', 'way', 'dream', 'presented', '.', 'author', 'succeeded', 'engaging', 'kids', ',', ',', 'sometimes', ',', 'easy', 'task', '.', 'highly', 'recommend', 'book', '.']","[('book', 'NN'), ('awesome', 'NN'), ('!', '.'), ('creative', 'JJ'), ('clever', 'NN'), ('-', ':'), ('way', 'NN'), ('dream', 'NN'), ('presented', 'VBN'), ('.', '.'), ('author', 'NN'), ('succeeded', 'VBD'), ('engaging', 'JJ'), ('kids', 'NNS'), (',', ','), (',', ','), ('sometimes', 'RB'), (',', ','), ('easy', 'JJ'), ('task', 'NN'), ('.', '.'), ('highly', 'RB'), ('recommend', 'JJ'), ('book', 'NN'), ('.', '.')]","['book awesome', 'creative clever', 'way dream', 'author', 'engaging kids', 'easy task', 'recommend book']","[0.2763001155932697, 0.19834432861370555, 0.017403236555639925, 0.1096215075602181, 1.0, 0.1602485889005669, 0.11879715652689128, 0.23108183758385145, 0.12673382363768323, 0.22693863593011515]",0.9548,positive
  Penelope's Big Dream (Penelope & Friends) ,"  A sweet story that highlights the importance of never giving up on your dreams. Be inspired by Penelope as she dares to dream BIG, overcomes adversity, and finds the courage to remain true to herself.Major themes in this book include dreams and goals, peer pressure, self-awareness and courage.Penelope is a curious, fun-loving little girl who is accompanied by her dream wherever she goes. Everything was going well for her until she realized that her dream had grown WAY TOO BIG. Feeling embarrassed of so much attention, she decided to leave her dream behind so she could fit in with others.Join Penelope in this sweet story of self awareness to find out what happens to her and her beloved dream.  Read more  ",Wonderful book with such an important message for children,5,"Both our boys ( ) big dream ! It is so well written with a heartwarming story and has such a powerful message . The illustrations are beautiful and as a parent , I truly enjoy reading this book over and over again ! I would really recommend this book . It will start a conversation with you child(ren ) about their dreams and aspiring them !","['boys', '(', '5', '6', 'years', 'old', ')', 'LOVE', 'Penelope', '’', 'big', 'dream', '!', 'well', 'written', 'heartwarming', 'story', 'powerful', 'message', '.', 'illustrations', 'beautiful', 'parent', ',', 'truly', 'enjoy', 'reading', 'book', '!', 'would', 'really', 'recommend', 'book', '.', 'start', 'conversation', 'child', '(', 'ren', ')', 'dreams', 'aspiring', '!']","[('boys', 'NNS'), ('(', '('), ('5', 'CD'), ('6', 'CD'), ('years', 'NNS'), ('old', 'JJ'), (')', ')'), ('LOVE', 'NNP'), ('Penelope', 'NNP'), ('’', 'NNP'), ('big', 'JJ'), ('dream', 'NN'), ('!', '.'), ('well', 'RB'), ('written', 'VBN'), ('heartwarming', 'VBG'), ('story', 'NN'), ('powerful', 'JJ'), ('message', 'NN'), ('.', '.'), ('illustrations', 'NNS'), ('beautiful', 'JJ'), ('parent', 'NN'), (',', ','), ('truly', 'RB'), ('enjoy', 'JJ'), ('reading', 'VBG'), ('book', 'NN'), ('!', '.'), ('would', 'MD'), ('really', 'RB'), ('recommend', 'VB'), ('book', 'NN'), ('.', '.'), ('start', 'VB'), ('conversation', 'NN'), ('child', 'NN'), ('(', '('), ('ren', 'NN'), (')', ')'), ('dreams', 'VBZ'), ('aspiring', 'VBG'), ('!', '.')]","['boys', 'years old', 'LOVE Penelope ’ big dream', 'story powerful message', 'illustrations beautiful parent', 'enjoy', 'book', 'book', 'conversation child', 'ren']","[0.24028615445899146, 0.2503267234086899, 0.051252358508763356, 0.20480019254921628, 0.1602485889005669, 1.0000000000000004, 0.2861142690956664, 0.21387206280070928, 0.23508236055574827, 0.24292522688556725]",0.9777,positive
  Penelope's Big Dream (Penelope & Friends) ,"  A sweet story that highlights the importance of never giving up on your dreams. Be inspired by Penelope as she dares to dream BIG, overcomes adversity, and finds the courage to remain true to herself.Major themes in this book include dreams and goals, peer pressure, self-awareness and courage.Penelope is a curious, fun-loving little girl who is accompanied by her dream wherever she goes. Everything was going well for her until she realized that her dream had grown WAY TOO BIG. Feeling embarrassed of so much attention, she decided to leave her dream behind so she could fit in with others.Join Penelope in this sweet story of self awareness to find out what happens to her and her beloved dream.  Read more  ",A sweet and inspiring story for all ages!,5,"My kids loved this book and keep reading it again and again . We love the sweet and inspiring story that both kids and grown - ups can relate to , and it prompts great conversations for us as a family on our hopes and dreams , self - confidence , and what it takes to make your dream a reality . The illustrations are so beautiful too ! A great addition to our bookshelf that we ’ll treasure for to come !","['kids', 'loved', 'book', 'keep', 'reading', '.', 'love', 'sweet', 'inspiring', 'story', 'kids', 'grown-ups', 'relate', ',', 'prompts', 'great', 'conversations', 'us', 'family', 'hopes', 'dreams', ',', 'self-confidence', ',', 'takes', 'make', 'dream', 'reality', '.', 'illustrations', 'beautiful', '!', 'great', 'addition', 'bookshelf', '’', 'treasure', 'years', 'come', '!']","[('kids', 'NNS'), ('loved', 'VBD'), ('book', 'NN'), ('keep', 'NN'), ('reading', 'NN'), ('.', '.'), ('love', 'VB'), ('sweet', 'JJ'), ('inspiring', 'VBG'), ('story', 'NN'), ('kids', 'NNS'), ('grown-ups', 'JJ'), ('relate', 'NN'), (',', ','), ('prompts', 'VBZ'), ('great', 'JJ'), ('conversations', 'NNS'), ('us', 'PRP'), ('family', 'NN'), ('hopes', 'VBZ'), ('dreams', 'NNS'), (',', ','), ('self-confidence', 'NN'), (',', ','), ('takes', 'VBZ'), ('make', 'VBP'), ('dream', 'NN'), ('reality', 'NN'), ('.', '.'), ('illustrations', 'NNS'), ('beautiful', 'JJ'), ('!', '.'), ('great', 'JJ'), ('addition', 'NN'), ('bookshelf', 'PRP'), ('’', 'JJ'), ('treasure', 'NN'), ('years', 'NNS'), ('come', 'VBP'), ('!', '.')]","['kids', 'book keep reading', 'sweet', 'story kids grown-ups relate', 'great conversations', 'family', 'dreams', 'self-confidence', 'dream reality', 'illustrations beautiful', 'great addition', '’ treasure years']","[0.45530395877776936, 0.3161809655191188, 0.24615021009755886, 0.2521225432068496, 0.11879715652689128, 0.2861142690956664, 1.0000000000000007, 0.3301852955479662, 0.2947972999756301, 0.25917748065393514]",0.991,positive
  Penelope's Big Dream (Penelope & Friends) ,"  A sweet story that highlights the importance of never giving up on your dreams. Be inspired by Penelope as she dares to dream BIG, overcomes adversity, and finds the courage to remain true to herself.Major themes in this book include dreams and goals, peer pressure, self-awareness and courage.Penelope is a curious, fun-loving little girl who is accompanied by her dream wherever she goes. Everything was going well for her until she realized that her dream had grown WAY TOO BIG. Feeling embarrassed of so much attention, she decided to leave her dream behind so she could fit in with others.Join Penelope in this sweet story of self awareness to find out what happens to her and her beloved dream.  Read more  ",Inspiring and heartwarming story,5,"I found this book excellent to encourage my kids to take care of their dreams !   The story is inspiring for kids and adults , too , and beginner readers can manage to read the story by themselves , which is even more fun . The pictures are lovely and expressive , and you can continue by yourself with the extra coloring page . Our kids loved it !","['found', 'book', 'excellent', 'encourage', 'kids', 'take', 'care', 'dreams', '!', 'story', 'inspiring', 'kids', 'adults', ',', ',', 'beginner', 'readers', 'manage', 'read', 'story', ',', 'even', 'fun', '.', 'pictures', 'lovely', 'expressive', ',', 'continue', 'extra', 'coloring', 'page', '.', 'kids', 'loved', '!']","[('found', 'VBN'), ('book', 'NN'), ('excellent', 'JJ'), ('encourage', 'NN'), ('kids', 'NNS'), ('take', 'VBP'), ('care', 'NN'), ('dreams', 'NNS'), ('!', '.'), ('story', 'NN'), ('inspiring', 'VBG'), ('kids', 'NNS'), ('adults', 'NNS'), (',', ','), (',', ','), ('beginner', 'NN'), ('readers', 'NNS'), ('manage', 'VBP'), ('read', 'JJ'), ('story', 'NN'), (',', ','), ('even', 'RB'), ('fun', 'NN'), ('.', '.'), ('pictures', 'NNS'), ('lovely', 'RB'), ('expressive', 'JJ'), (',', ','), ('continue', 'VBP'), ('extra', 'JJ'), ('coloring', 'NN'), ('page', 'NN'), ('.', '.'), ('kids', 'NNS'), ('loved', 'VBD'), ('!', '.')]","['book excellent encourage kids', 'care dreams', 'story', 'kids adults', 'beginner readers', 'read story', 'fun', 'pictures', 'expressive', 'extra coloring page', 'kids']","[0.38560292505851584, 0.21781579233186707, 0.094359112257293, 0.23435957048529985, 0.23108183758385145, 0.21387206280070928, 0.3301852955479662, 1.0, 0.1876837694771599, 0.18258077508070894]",0.981,positive
  Penelope's Big Dream (Penelope & Friends) ,"  A sweet story that highlights the importance of never giving up on your dreams. Be inspired by Penelope as she dares to dream BIG, overcomes adversity, and finds the courage to remain true to herself.Major themes in this book include dreams and goals, peer pressure, self-awareness and courage.Penelope is a curious, fun-loving little girl who is accompanied by her dream wherever she goes. Everything was going well for her until she realized that her dream had grown WAY TOO BIG. Feeling embarrassed of so much attention, she decided to leave her dream behind so she could fit in with others.Join Penelope in this sweet story of self awareness to find out what happens to her and her beloved dream.  Read more  ",Kids love it!,5,"We ’ve loved reading this book together with our kids ( yo ) . Has started a lot of great conversations about dreams , ambitions , and peer pressure . The especially loves the illustrations and reading it aloud for all of us . Strongly recommend !","['’', 'loved', 'reading', 'book', 'together', 'kids', '(', '8', 'yo', '6', 'yo', ')', '.', 'started', 'lot', 'great', 'conversations', 'dreams', ',', 'ambitions', ',', 'peer', 'pressure', '.', 'six', 'year', 'old', 'especially', 'loves', 'illustrations', 'reading', 'aloud', 'us', '.', 'Strongly', 'recommend', '!']","[('’', 'NN'), ('loved', 'VBD'), ('reading', 'VBG'), ('book', 'NN'), ('together', 'RB'), ('kids', 'NNS'), ('(', '('), ('8', 'CD'), ('yo', 'RB'), ('6', 'CD'), ('yo', 'NN'), (')', ')'), ('.', '.'), ('started', 'VBN'), ('lot', 'NN'), ('great', 'JJ'), ('conversations', 'NNS'), ('dreams', 'NNS'), (',', ','), ('ambitions', 'NNS'), (',', ','), ('peer', 'NN'), ('pressure', 'NN'), ('.', '.'), ('six', 'CD'), ('year', 'NN'), ('old', 'JJ'), ('especially', 'RB'), ('loves', 'VBZ'), ('illustrations', 'NNS'), ('reading', 'VBG'), ('aloud', 'JJ'), ('us', 'PRP'), ('.', '.'), ('Strongly', 'RB'), ('recommend', 'VBP'), ('!', '.')]","['’', 'book', 'kids', 'yo', 'lot great conversations dreams', 'ambitions', 'peer pressure', 'year old', 'illustrations', 'aloud']","[0.2411321126980278, 0.14796191480334503, 0.050134096042511414, 0.11183087481252511, 0.12673382363768323, 0.23508236055574827, 0.2947972999756301, 0.1876837694771599, 1.0, 0.23449475713349888]",0.9544,positive
  Penelope's Big Dream (Penelope & Friends) ,"  A sweet story that highlights the importance of never giving up on your dreams. Be inspired by Penelope as she dares to dream BIG, overcomes adversity, and finds the courage to remain true to herself.Major themes in this book include dreams and goals, peer pressure, self-awareness and courage.Penelope is a curious, fun-loving little girl who is accompanied by her dream wherever she goes. Everything was going well for her until she realized that her dream had grown WAY TOO BIG. Feeling embarrassed of so much attention, she decided to leave her dream behind so she could fit in with others.Join Penelope in this sweet story of self awareness to find out what happens to her and her beloved dream.  Read more  ",A beautiful story with a powerful message!,5,"This book is a captivating tale that carries a profound lesson ! Our family enjoyed reading it together . It ’s well written , and the vibrant illustrations add to its charm . It presents an opportunity for kids to engage in a meaningful conversation about the significance of cherishing aspirations and pursuing dreams . Without a doubt , I would highly recommend !","['book', 'captivating', 'tale', 'carries', 'profound', 'lesson', '!', 'family', 'enjoyed', 'reading', 'together', '.', '’', 'well', 'written', ',', 'vibrant', 'illustrations', 'add', 'charm', '.', 'presents', 'opportunity', 'kids', 'engage', 'meaningful', 'conversation', 'significance', 'cherishing', 'aspirations', 'pursuing', 'dreams', '.', 'Without', 'doubt', ',', 'would', 'highly', 'recommend', '!']","[('book', 'NN'), ('captivating', 'VBG'), ('tale', 'JJ'), ('carries', 'VBZ'), ('profound', 'IN'), ('lesson', 'NN'), ('!', '.'), ('family', 'NN'), ('enjoyed', 'VBD'), ('reading', 'VBG'), ('together', 'RB'), ('.', '.'), ('’', 'VB'), ('well', 'RB'), ('written', 'VBN'), (',', ','), ('vibrant', 'JJ'), ('illustrations', 'NNS'), ('add', 'VBP'), ('charm', 'NN'), ('.', '.'), ('presents', 'NNS'), ('opportunity', 'NN'), ('kids', 'NNS'), ('engage', 'VB'), ('meaningful', 'JJ'), ('conversation', 'NN'), ('significance', 'NN'), ('cherishing', 'VBG'), ('aspirations', 'NNS'), ('pursuing', 'VBG'), ('dreams', 'NNS'), ('.', '.'), ('Without', 'IN'), ('doubt', 'NN'), (',', ','), ('would', 'MD'), ('highly', 'RB'), ('recommend', 'VB'), ('!', '.')]","['book', 'tale', 'lesson', 'family', 'vibrant illustrations', 'charm', 'presents opportunity kids', 'meaningful conversation significance', 'aspirations', 'dreams', 'doubt']","[0.25420008194136645, 0.28432588160862055, 0.0741486252307947, 0.15664108171680508, 0.22693863593011515, 0.24292522688556725, 0.25917748065393514, 0.18258077508070894, 0.23449475713349888, 1.0]",0.9823,positive
